dataset	module	param_hash	phase	seconds
d-pca	pc-rapids	e9ad848b	compute	0.34
d-pca	pc-rapids	e9ad848b	gpu_download	0.007
d-pca	pc-rapids	e9ad848b	write	0.23
d-pca	pc-scanpy	07ef8b80	load	0.204
d-pca	pc-scanpy	07ef8b80	pca	1.464
d-pca	pc-scanpy	07ef8b80	write	0.027
d-pca	pc-scanpy	7980c8af	load	0.182
d-pca	pc-scanpy	7980c8af	pca	1.277
d-pca	pc-scanpy	7980c8af	write	0.028
d-pca	pc-scanpy	1dab3e50	load	0.185
d-pca	pc-scanpy	1dab3e50	pca	1.328
d-pca	pc-scanpy	1dab3e50	write	0.027
d-pca	pc-scanpy	ae8c1da3	load	0.19
d-pca	pc-scanpy	ae8c1da3	pca	1.319
d-pca	pc-scanpy	ae8c1da3	write	0.029
d-pca	pc-scanpy	4f52dcab	load	0.185
d-pca	pc-scanpy	4f52dcab	pca	1.363
d-pca	pc-scanpy	4f52dcab	write	0.025
d-pca	pc-scanpy	67915c1a	load	0.196
d-pca	pc-scanpy	67915c1a	pca	1.457
d-pca	pc-scanpy	67915c1a	write	0.036
d-pca	pc-scanpy	77f7dfd9	load	0.189
d-pca	pc-scanpy	77f7dfd9	pca	1.409
d-pca	pc-scanpy	77f7dfd9	write	0.033
d-pca	pc-scanpy	9755b03f	load	0.192
d-pca	pc-scanpy	9755b03f	pca	1.38
d-pca	pc-scanpy	9755b03f	write	0.027
d-pca	pc-scanpy	27fd56a7	load	0.177
d-pca	pc-scanpy	27fd56a7	pca	1.237
d-pca	pc-scanpy	27fd56a7	write	0.029
d-pca	pc-scanpy	46458866	load	0.183
d-pca	pc-scanpy	46458866	pca	1.211
d-pca	pc-scanpy	46458866	write	0.026
